title,price,monthday,year,room,m2,location
Sahibinden 2+0 temiz ve geniş apart,10.000 TL,08 Aralık,2025,2+0,70,"Anadolu
Modern Evler Mah."
SAHİBİNDEN FATİH MAHALLESİNDE GENİŞ FERAH 3+1,21.000 TL,08 Aralık,2025,3+1,160,"Anadolu
Fatih Mah."
Isparta Sanayi Mahallesi'nde Kiralık Daire,30.000 TL,08 Aralık,2025,3+1,182,"Anadolu
Sanayi Mah."
VATAN MAH.KİRALIK 2+1 SIFIR DAİRE,20.000 TL,08 Aralık,2025,2+1,100,"Çelebiler
Vatan Mah."
32 ARTIBİR EMLAKTAN ÇÜNÜRDE SİTE İÇERİSİ DAİRE,25.000 TL,08 Aralık,2025,3+1,155,"Anadolu
Çünür Mh."
SAHİBİNDEN Emre mahallesi kiralık 3+1 Daire,25.500 TL,08 Aralık,2025,3+1,155,"Çelebiler
Emre Mah."
"ISPARTA MERKEZ FATİH MH.,2+1, 45 M2, EŞYALI, KİRALIK APART DAİRE",7.000 TL,08 Aralık,2025,2+1,45,"Anadolu
Fatih Mah."
FK GRUP EMLAK'TAN ZAFER MAH ARA KAT 2+1 BAKIMLI TEMİZ DAİRE,10.000 TL,08 Aralık,2025,2+1,120,"Anadolu
Zafer Mah."
YÜCEER GAYRİMENKUL'DEN DAVRAZ MAH. GENİŞ 3+1 KİRALIK DAİRE,15.000 TL,08 Aralık,2025,3+0,140,"Kepeci
Davraz Mah."
sahibinden,25.000 TL,08 Aralık,2025,3+1,165,"Anadolu
Çünür Mh."
SİDRE MAHALLESİNDE SIFIR 2+1 85 M² KİRALIK DAİRE,15.000 TL,08 Aralık,2025,2+1,85,"Çelebiler
Sidre Mah."
ISPARTA MERKEZ ÇÜNÜR MAHALLESİNDE LÜX KIRALIK APART,14.500 TL,08 Aralık,2025,1+1,48,"Anadolu
Çünür Mh."
ISPARTA MERKEZ PİRİMEHMET MAHALLESİNDE KİRALIK APART,13.500 TL,08 Aralık,2025,2+0,56,"Kutlubey
Pirimehmet Mah."
İYAŞ AVM ÜZERİ 2+1 EŞYALI KİRALIK APART,12.500 TL,08 Aralık,2025,2+1,55,"Anadolu
Bahçelievler Mh."
MEYDAN AVM ÜSTÜ ISUBÜ ÜNVERSTESİNE 100m uzaklkta Ful eşylı apart,7.500 TL,08 Aralık,2025,Stüdyo (1+0),25,"Tokmacık
Yayla Mah."
FATİH MAHALLESİNDE KİRALIK DAİRE,15.500 TL,08 Aralık,2025,3+1,150,"Anadolu
Fatih Mah."
Tertemiz hiç kullanılmamış sıfır eşyalı daire (2+1),19.000 TL,08 Aralık,2025,2+1,60,"Anadolu
Fatih Mah."
BU HAFTAYA ÖZEL SON FİYAT KİRALIK SİTE İÇİ SIFIR 3+1 DAİRE,18.000 TL,08 Aralık,2025,3+1,135,"Anadolu
Muzaffer Türkeş Mh."
Barida Karşısı 1+1 Herşey Dahil Apartlar,15.500 TL,08 Aralık,2025,1+1,40,"Anadolu
Modern Evler Mah."
FATİH MAHALLESİ'NDE KİRALIK 1+0 APART,8.000 TL,08 Aralık,2025,Stüdyo (1+0),30,"Anadolu
Fatih Mah."
ÇARŞI MERKEZ 2+1 BALKOLU YAKIT NET DAHİL,12.000 TL,08 Aralık,2025,2+1,60,"Kutlubey
Pirimehmet Mah."
ASLAN EMLAK'TAN KULE246'da KİRALIK DAİRE,26.000 TL,08 Aralık,2025,3+1,136,"Kepeci
Davraz Mah."
ISPARTA FATİH MAHALLESİNDE 2+0 KİRALIK APART,10.000 TL,08 Aralık,2025,2+0,35,"Anadolu
Fatih Mah."
Fatih mahallesinde iyasa yakın 2+1 apart,10.000 TL,08 Aralık,2025,2+1,50,"Anadolu
Fatih Mah."
ISPARTA MERKEZ EMRE MAHALLESİNDE SİTE İÇERİSİNDE KİRALIK DAİRE,18.000 TL,08 Aralık,2025,2+1,100,"Çelebiler
Emre Mah."
KAYA EMLAKTAN ÖZKANLARDA KİRALIK 2+1 EŞYALI APART,14.000 TL,08 Aralık,2025,2+1,55,"Kutlubey
Pirimehmet Mah."
KAYA EMLAKTAN FATİH MAH. KİRALIK 2+1 EŞYALI APART,10.000 TL,08 Aralık,2025,2+1,60,"Anadolu
Fatih Mah."
KAYA EMLAKTAN HASTANE CADDESİ ÜSTÜNDE KİRALIK 2+1 EŞYALI DAİRE,11.000 TL,08 Aralık,2025,2+1,110,"Kutlubey
Hızırbey Mh."
ÖZKANLAR 'da MERKEZİ FUL EŞYALI 1+1 KİRALIK APART DAİRE,14.000 TL,08 Aralık,2025,1+1,40,"Kutlubey
Pirimehmet Mah."
Hisar Mahallesi Çay Yolunda 3+1 Kombili 150m2 Kiralık Daire,36.750 TL,08 Aralık,2025,3+1,150,"Çelebiler
Hisar Mah."
2+1 yeni içten ve dıştan izolasyonlu enerji tasarrufu üst düzey,17.000 TL,08 Aralık,2025,2+1,90,"Kutlubey
Işıkkent Mh."
ISPARTA MERKEZ MUZAFFER TÜRKEŞ MAHALLESİNDE SIFIR KİRALIK DAİRE,25.000 TL,08 Aralık,2025,3+1,145,"Anadolu
Muzaffer Türkeş Mh."
ÇARŞI MERKEZDE EŞYALI KİRALIK 1+1 DAİRE,13.000 TL,08 Aralık,2025,1+1,50,"Kutlubey
Pirimehmet Mah."
GÖKÇAYDA KİRALIK 4+1 LÜX KİRALIK DAİRE,30.000 TL,08 Aralık,2025,4+1,160,"Çelebiler
Keçeci Mh."
ÇÜNÜRDE KİRALIK ARA KAT BALKONLU EŞYALI 1+1 APART,12.000 TL,08 Aralık,2025,1+1,45,"Anadolu
Çünür Mh."
ÇARŞI MERKEZDE MEYDAN AVM KARŞISINDA KİRALIK 3+1 DAİRE,14.000 TL,08 Aralık,2025,3+1,130,"Kutlubey
Pirimehmet Mah."
Kiralık apart,18.000 TL,08 Aralık,2025,2+1,55,"Anadolu
Mehmet Tönge Mh."
ÇÜNÜRDE MEMURDAN 2+1 EŞYALI KİRALIK APART,17.000 TL,08 Aralık,2025,2+1,60,"Anadolu
Çünür Mh."
YAĞMUR EMLAK'TAN MERKEZDE HERŞEY DAHİL KİRALIK APART,12.000 TL,08 Aralık,2025,1+1,31,"Kutlubey
Pirimehmet Mah."
Sermet Mahallesi'nde kiralık 2+1 apart,10.500 TL,07 Aralık,2025,2+1,42,"Kepeci
Sermet Mah."
Kiralık Çatı Katı Bireysel Kombili Teraslı ve Balkonlu,9.500 TL,07 Aralık,2025,2+0,100,"Kepeci
Karaağaç Mh."
ÇELİKEV GAYRİMENKUL'DEN İYAŞ AVM'YE 3DK MESAFEDE ARAKAT 1+1 APAR,12.000 TL,07 Aralık,2025,1+1,52,"Anadolu
Bahçelievler Mh."
KİRALIK MODERNEVLERDE ARA KAT 2+1 APARTIMIZ,11.000 TL,07 Aralık,2025,2+1,55,"Anadolu
Modern Evler Mah."
SAHİBİNDEN KİRALIK 3+1 DAİRE ASANSÖR OTOPARKLI ÖZKANLAR KAVŞAĞI,18.000 TL,07 Aralık,2025,3+1,150,"Kutlubey
Pirimehmet Mah."
ATALAR EMLAKTAN KİRALIK 1+1 LÜKS APART,17.000 TL,07 Aralık,2025,1+1,55,"Anadolu
Fatih Mah."
KARAAĞAÇ MAHALLESİ KİRALIK DUBLEKS DAİRE,35.000 TL,07 Aralık,2025,4+1,320,"Kepeci
Karaağaç Mh."
Sahibinden Eşyalı 1+0 Apart,7.500 TL,07 Aralık,2025,Stüdyo (1+0),30,"Anadolu
Mehmet Tönge Mh."
IYAŞ AVM YANI DURAKLARA ÇOK YAKIN KİRALIK 2+0 BALKONLU APART,12.000 TL,07 Aralık,2025,2+0,50,"Anadolu
Fatih Mah."
ÇARŞI ANA CADDE ÇOK GENİŞ 1+1 60M2 FATURALAR DAHİL,16.000 TL,07 Aralık,2025,1+1,62,"Kutlubey
Hızırbey Mh."
MODERNEVLERDE | 3+1 | 155m2 | OTOPARKLI ÇOK BAKIMLI DAİRE,20.500 TL,07 Aralık,2025,3+1,155,"Anadolu
Modern Evler Mah."
32 ARTIBİR EMLAKTAN VALİLİK YANI 2+1 EŞYALI DAİRE,10.000 TL,07 Aralık,2025,2+1,135,"Çelebiler
İskender Mh."
MODERNEVLER MAHALLESİ ARA KAT KİRALIK 2+1 APART,13.750 TL,07 Aralık,2025,2+1,50,"Anadolu
Modern Evler Mah."
KİRALIK 3+1 DAİRE HIZIRBEY ORTA OKULU YUKARISINDA,14.000 TL,07 Aralık,2025,3+1,130,"Kutlubey
Işıkkent Mh."
kiralık sıfır daire,26.000 TL,07 Aralık,2025,3+1,185,"Kepeci
Davraz Mah."
ÇÜNÜR'DE SAHİBİNDEN YEMYEŞİL SİTE İÇİ ARAKAT 3+1 KİRALIK,30.000 TL,07 Aralık,2025,3+1,165,"Anadolu
Çünür Mh."
TİP FAKÜLTESİ KARŞISI ARA KAT 2+1,20.000 TL,07 Aralık,2025,2+1,70,"Anadolu
Çünür Mh."
